Campaign_Id,Reach,Frequency,Click,Lead,Product,Cost,Revenue,Channel_Id,Date,Campaign Goal,Duration,Target_Audience_Id
CAMP_0001,9271,"3,92",835,62,30,"92725,95","187404,26",CHAN_003,5/30/2024,Lead Generation,18,TA_002
CAMP_0002,10042,"4,42",904,248,100,"100440,12","310869,26",CHAN_003,5/14/2024,Brand Awareness,19,TA_008
CAMP_0003,7937,"4,66",715,318,100,"79401,46","204924,53",CHAN_001,5/9/2024,Lead Generation,28,TA_003
CAMP_0004,5579,"3,34",502,12,9,"55791,41","163355,26",CHAN_001,11/10/2024,Brand Awareness,70,TA_006
CAMP_0005,7809,"5,58",703,158,30,"78076,81","191777,2",CHAN_003,10/1/2024,Sales,46,TA_008
CAMP_0006,9047,"2,31",814,12,9,"90466,24","321819,73",CHAN_002,6/8/2024,Brand Awareness,35,TA_002
CAMP_0007,5380,"4,81",484,73,32,"53765,47","97744,31",CHAN_003,6/29/2024,Brand Awareness,56,TA_008
CAMP_0008,3846,"4,69",346,135,13,"38492,96","120488,92",CHAN_002,8/25/2024,Sales,26,TA_002
CAMP_0009,1160,"3,19",104,495,130,"11610,22","21541,96",CHAN_002,11/15/2024,Brand Awareness,30,TA_007
CAMP_0010,7282,"3,81",656,248,100,"72856,1","165043,69",CHAN_003,10/30/2024,Sales,73,TA_001
CAMP_0011,4132,"2,2",372,248,100,"41298,11","141036,38",CHAN_002,9/13/2024,Lead Generation,85,TA_009
CAMP_0012,5222,"4,6",470,495,130,"52207,05","147271,87",CHAN_003,3/27/2024,Brand Awareness,38,TA_010
CAMP_0013,11688,"4,9",1052,43,21,"116881,45","329190,9",CHAN_002,4/9/2024,Sales,40,TA_003
CAMP_0014,6730,"3,29",606,12,9,"67323,71","135889,78",CHAN_001,3/17/2024,Lead Generation,81,TA_008
CAMP_0015,4326,"5,04",389,43,21,"43246,14","152644,53",CHAN_002,12/6/2024,Brand Awareness,27,TA_004
CAMP_0016,2108,"4,31",190,135,13,"21116,58","67405,19",CHAN_003,4/28/2024,Sales,37,TA_007
CAMP_0017,11481,"1,05",1033,62,30,"114777,58","210152,93",CHAN_002,8/4/2024,Lead Generation,37,TA_005
CAMP_0018,8674,"0,92",781,62,30,"86726,03","234653,44",CHAN_002,11/19/2024,Lead Generation,23,TA_008
CAMP_0019,11250,"6,39",1013,158,30,"112517,87","367301,26",CHAN_001,10/30/2024,Sales,27,TA_005
CAMP_0020,7917,"5,77",713,62,4,"79167,7","148974,1",CHAN_003,5/22/2024,Sales,30,TA_008
CAMP_0021,11620,"1,15",1046,482,120,"116180,16","333140,3",CHAN_001,7/18/2024,Sales,44,TA_008
CAMP_0022,4759,"5,81",428,375,300,"47609,71","99372,04",CHAN_002,3/23/2024,Brand Awareness,33,TA_006
CAMP_0023,2400,"5,93",216,212,77,"23999,66","80899,25",CHAN_001,12/7/2024,Brand Awareness,53,TA_003
CAMP_0024,8549,"3,34",769,12,9,"85479,3","219324,15",CHAN_003,2/18/2024,Brand Awareness,24,TA_006
CAMP_0025,5138,"2,85",462,212,77,"51349,92","119255,63",CHAN_002,7/11/2024,Brand Awareness,88,TA_010
CAMP_0026,11239,"5,97",1011,62,4,"112362,03","300055,03",CHAN_003,2/19/2024,Sales,34,TA_004
CAMP_0027,6670,"6,33",600,21,8,"66700,35","136038,77",CHAN_003,1/26/2024,Sales,82,TA_007
CAMP_0028,4837,"2,71",436,273,59,"48388,92","160920,56",CHAN_003,11/27/2024,Sales,85,TA_004
CAMP_0029,9824,"0,92",884,132,90,"98258,34","251222,18",CHAN_003,7/21/2024,Lead Generation,56,TA_003
CAMP_0030,2600,"5,82",234,375,300,"26025,6","69168,61",CHAN_002,1/11/2024,Brand Awareness,59,TA_001
CAMP_0031,10521,"2,09",947,318,100,"105193,3","336701,37",CHAN_002,5/13/2024,Brand Awareness,77,TA_007
CAMP_0032,8151,"1,68",734,132,90,"81505,33","172132,45",CHAN_002,5/10/2024,Lead Generation,62,TA_001
CAMP_0033,6636,"1,56",597,375,300,"66388,66","199738,72",CHAN_003,2/4/2024,Brand Awareness,64,TA_006
CAMP_0034,9424,"1,69",848,73,32,"94206,45","337660,26",CHAN_001,2/10/2024,Sales,78,TA_004
CAMP_0035,4803,"0,94",432,158,30,"47999,31","84730,31",CHAN_002,7/6/2024,Lead Generation,19,TA_003
CAMP_0036,6831,"1,38",615,62,4,"68336,69","221359,85",CHAN_001,8/30/2024,Sales,68,TA_004
CAMP_0037,8653,"3,76",778,305,120,"86492,27","291048,48",CHAN_003,12/3/2024,Brand Awareness,84,TA_002
CAMP_0038,533,"6,43",48,188,12,"5298,63","16719,51",CHAN_002,7/29/2024,Lead Generation,18,TA_008
CAMP_0039,8634,"3,53",777,324,98,"86336,43","189301,66",CHAN_003,7/22/2024,Lead Generation,75,TA_001
CAMP_0040,4699,"1,01",423,21,8,"46986,34","90741,78",CHAN_001,2/6/2024,Sales,89,TA_006
CAMP_0041,4975,"1,03",447,248,100,"49713,58","134262,61",CHAN_003,7/1/2024,Sales,81,TA_007
CAMP_0042,1931,"4,83",174,21,8,"19324,4","58410,23",CHAN_003,6/18/2024,Lead Generation,72,TA_006
